Account ID,Account Name,Instance ID,Instance name,Instance type,OS,Region,user: Tag1,user: Environment,aws:createdBy,Total running hours,RI Hours,On-Demand hours,Savings Plans hours, CPU Utilization ,Memory Utilization,Disk Utilization,EBS Read Throughput (Ops/s),EBS Write Throughput (Ops/s),EBS Read Bandwidth (KiB/s),EBS Write Bandwidth (KiB/s),Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
8.36E+11,WA Cost Labs,i-010459,name 11,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 11,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.062222,0,0.062222,0,2.93,,,0,0.993333333,0,17.24242839,Modify,c4.2xlarge,$0.06 ,5.85,,,c4.xlarge,$0.09 ,11.71,,,c4.large,$0.11 ,23.42,,
8.36E+11,WA Cost Labs,i-010470,name 12,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 12,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.075,0,0.075,0,4.07,,,0,1.19,0,14.76288086,Modify,c4.2xlarge,$0.07 ,8.15,,,c4.large,$0.13 ,32.58,,,c4.xlarge,$0.11 ,16.29,,
8.36E+11,WA Cost Labs,i-010473,name 13,t3.large,Linux/UNIX,US East (N. Virginia),TagValue 13,PRD,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,1,,,0,6.16,0,699.7251511,Modify,t3.medium,$29.74 ,1,,,t3.small,$44.60 ,1,,,t3.nano,$55.75 ,1,,
8.36E+11,WA Cost Labs,i-010543,name 14,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 14,PRD,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,6,,,0.013333333,6.32,0.190734863,699.1624832,Modify,t3.micro,$8.58 ,6,,,t3.nano,$12.87 ,6,,,,,,,
8.36E+11,WA Cost Labs,i-010544,name 15,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 15,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.510556,0,0.510556,0,24.58,,,0,7.693333333,0,536.6007487,Modify,c4.large,$0.11 ,49.17,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01055,name 16,r5.2xlarge,Windows (Amazon VPC),EU (Ireland),TagValue 16,PRD,AssumedRole:AROA3JCGXXXXXXXX,77,0,77,0,32,,,0,6.313333333,0,,Modify,r5.xlarge,$77.96 ,64,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010594,name 17,r5.2xlarge,Linux/UNIX,US East (N. Virginia),TagValue 17,PRD,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,33,,,0,7.953333333,0,,Modify,r5.xlarge, $-   ,66,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01060,name 18,m4.2xlarge,Windows (Amazon VPC),US East (N. Virginia),TagValue 18,PRD,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,22.71,,,0,7.353333333,0,,Modify,m4.xlarge,$274.48 ,45.42,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010652,name 19,c4.xlarge,Linux/UNIX,EU (Frankfurt),TagValue 19,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.088889,0,0.088889,0,32.79,,,0,5.716666667,0,,Modify,c4.large,$0.02 ,65.58,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010705,name 20,t2.small,Linux/UNIX,EU (Ireland),TagValue 20,PRD,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,6.77,,,0,0.993333333,0,,Modify,t2.micro,$8.89 ,6.77,,,t2.nano,$13.41 ,6.77,,,,,,,
8.36E+11,WA Cost Labs,i-010706,name 21,t2.micro,Linux/UNIX,EU (Frankfurt),TagValue 21,PRD,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,8.52,,,0.18,7.793333333,3.738404948,,Modify,t2.nano,$4.79 ,8.52,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010816,name 22,m4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 22,PRD,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,7.42,,,0,1.18,0,,Modify,m4.large, $-   ,14.84,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010852,name 23,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 23,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.073889,0,0.073889,0,3.57,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.07 ,7.15,,,c4.large,$0.13 ,28.58,,,c4.xlarge,$0.11 ,14.29,,
8.36E+11,WA Cost Labs,i-010901,name 24,t2.large,Windows (Amazon VPC),US East (N. Virginia),TagValue 24,PRD,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,6.75,,,0.66,10.00333333,17.06441406,,Modify,t2.medium,$40.31 ,6.75,,,t2.small,$63.47 ,13.5,,,t2.micro,$74.77 ,13.5,,
8.36E+11,WA Cost Labs,i-010954,name 25,t2.micro,Red Hat Enterprise Linux,US East (N. Virginia),TagValue 25,PRD,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,0.82,,,0,0.993333333,0,,Terminate,,$51.33 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010985,name 26,m5.2xlarge,Red Hat Enterprise Linux,US East (N. Virginia),TagValue 26,PRD,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,18,,,0,0.993333333,0,,Modify,m5.xlarge,$187.28 ,36,,,m5.large,$255.90 ,72,,,,,,,
8.36E+11,WA Cost Labs,i-010995,name 27,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 27,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.186111,0,0.186111,0,12.01,,,0,1.19,0,,Modify,c4.2xlarge,$0.18 ,24.02,,,c4.xlarge,$0.27 ,48.04,,,,,,,
8.36E+11,WA Cost Labs,i-011023,name 28,c3.2xlarge,Red Hat Enterprise Linux,US West (Oregon),TagValue 28,PRD,AssumedRole:AROA3JCGXXXXXXXX,102,0,102,0,29.4,,,0,6.16,0,,Modify,c3.xlarge,$62.05 ,58.79,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011056,name 29,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 29,PRD,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,3,,,0.013333333,6.32,0.190734863,,Modify,t3.micro,$8.60 ,3,,,t3.nano,$12.91 ,3,,,,,,,
8.36E+11,WA Cost Labs,i-011075,name 30,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 30,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.28,0,0.28,0,0.83,,,0,7.693333333,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011079,name 31,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 31,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.075278,0,0.075278,0,2.93,,,0,6.313333333,0,,Modify,c4.2xlarge,$0.07 ,5.85,,,c4.large,$0.13 ,23.42,,,c4.xlarge,$0.11 ,11.71,,
8.36E+11,WA Cost Labs,i-011167,name 32,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 32,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.138056,0,0.138056,0,6.13,,,0,7.953333333,0,,Modify,c4.2xlarge,$0.14 ,12.25,,,c4.large,$0.24 ,49,,,c4.xlarge,$0.20 ,24.5,,
8.36E+11,WA Cost Labs,i-01119,name 33,c5.2xlarge,Windows (Amazon VPC),EU (Frankfurt),TagValue 33,PRD,IAMUser:AIDAJJB63XXXXXXXX,1,0,1,0,36,,,0,7.353333333,0,,Modify,c5.xlarge,$0.82 ,72,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011200,name 34,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 34,PRD,AssumedRole:AROA3JCGXXXXXXXX,328.298333,0,328.298333,0,2,,,0,5.716666667,0,,Modify,t3.micro,$8.56 ,2,,,t3.nano,$12.84 ,2,,,,,,,
8.36E+11,WA Cost Labs,i-011217,name 35,c4.4xlarge,Linux/UNIX,US East (N. Virginia),TagValue 35,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.135833,0,0.135833,0,14.09,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.12 ,28.19,,,c4.xlarge,$0.18 ,56.38,,,,,,,
8.36E+11,WA Cost Labs,i-011232,name 36,m5.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 36,PRD,AssumedRole:AROA3JCGXXXXXXXX,329,329,0,0,1,,,0.18,7.793333333,3.738404948,,Modify,m5.large, $-   ,2,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01124,name 37,r4.2xlarge,SUSE Linux,EU (Frankfurt),TagValue 37,PRD,IAMUser:AIDAJJB63XXXXXXXX,1,0,1,0,24.5,,,0,1.18,0,,Modify,r4.xlarge,$0.70 ,49,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011260,name 38,t3.micro,Linux/UNIX,EU (Frankfurt),TagValue 38,PRD,AssumedRole:AROA3JCGXXXXXXXX,2.506111,0,2.506111,0,39,,,0,0.993333333,0,,Modify,t3.nano,$0.03 ,39,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01128,name 39,c4.xlarge,Linux/UNIX,EU (Frankfurt),TagValue 39,PRD,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,23.25,,,0.66,10.00333333,17.06441406,,Modify,c4.large,$81.02 ,46.5,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011327,name 40,t2.micro,Linux/UNIX,US East (N. Virginia),TagValue 40,PRD,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,12,,,0,0.993333333,0,,Modify,t2.nano,$4.15 ,12,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011364,name 41,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 41,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.040556,0,0.040556,0,8.98,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.04 ,17.95,,,c4.xlarge,$0.06 ,35.9,,,c4.large,$0.07 ,71.8,,
8.36E+11,WA Cost Labs,i-011378,name 42,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 42,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.280278,0,0.280278,0,0.82,,,0,1.19,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011410,name 43,c4.xlarge,Linux/UNIX,Asia Pacific (Singapore),TagValue 43,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.029444,0,0.029444,0,23.38,,,0,6.16,0,,Modify,c4.large,$0.01 ,46.75,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011425,name 44,t3.medium,Linux/UNIX,EU (Frankfurt),TagValue 44,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,10,,,0.013333333,6.32,0.190734863,,Modify,t3.small,$17.21 ,10,,,t3.nano,$30.11 ,10,,,t3.micro,$25.81 ,10,,
8.36E+11,WA Cost Labs,i-011428,name 45,t2.medium,Red Hat Enterprise Linux,EU (Ireland),TagValue 45,DEV,IAMUser:AIDAJJB63XXXXXXXX,1,0,1,0,16.23,,,0,7.693333333,0,,Modify,t2.small,$0.05 ,32.46,,,t2.micro,$0.08 ,32.46,,,,,,,
8.36E+11,WA Cost Labs,i-01148,name 46,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 46,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.18,0,0.18,0,15.46,,,0,6.313333333,0,,Modify,c4.large,$0.04 ,30.92,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011513,name 47,m5.xlarge,Red Hat Enterprise Linux,US East (Ohio),TagValue 47,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,21,,,0,7.953333333,0,,Modify,m5.large,$68.62 ,42,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011572,name 48,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 48,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.11,0,0.11,0,6.78,,,0,7.353333333,0,,Modify,c4.2xlarge,$0.11 ,13.56,,,c4.xlarge,$0.16 ,27.13,,,c4.large,$0.19 ,54.25,,
8.36E+11,WA Cost Labs,i-011577,name 49,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 49,DEV,IAMUser:AIDAJJB63XXXXXXXX,17.396944,0,17.396944,0,36,,,0,5.716666667,0,,Modify,t3.micro,$0.45 ,36,,,t3.nano,$0.68 ,36,,,,,,,
8.36E+11,WA Cost Labs,i-0116,name 50,m4.2xlarge,Red Hat Enterprise Linux,US West (N. California),TagValue 50,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,25.31,,,0,0.993333333,0,,Modify,m4.xlarge,$217.96 ,50.63,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011660,name 51,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 51,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.105833,0,0.105833,0,11.58,,,0.18,7.793333333,3.738404948,,Modify,c4.2xlarge,$0.10 ,23.17,,,c4.xlarge,$0.16 ,46.33,,,,,,,
8.36E+11,WA Cost Labs,i-011700,name 52,r4.8xlarge,Linux/UNIX,US East (N. Virginia),TagValue 52,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,30.33,,,0,1.18,0,,Modify,r4.4xlarge, $-   ,60.66,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01172,name 53,c4.xlarge,Linux/UNIX,EU (London),TagValue 53,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.124167,0,0.124167,0,17.04,,,0,0.993333333,0,,Modify,c4.large,$0.03 ,34.08,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011722,name 54,r4.2xlarge,Linux/UNIX,EU (London),TagValue 54,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,29.31,,,0.66,10.00333333,17.06441406,,Modify,r4.xlarge, $-   ,58.63,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-011843,name 55,t2.large,Windows (Amazon VPC),US East (N. Virginia),TagValue 55,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,35.08,,,0,0.993333333,0,,Modify,t2.medium,$40.44 ,35.08,,,t2.small,$63.67 ,70.17,,,t2.micro,$74.99 ,70.17,,
8.36E+11,WA Cost Labs,i-01188,name 56,c5.xlarge,Linux/UNIX,US East (Ohio),TagValue 56,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,26,,,0,0.993333333,0,,Modify,c5.large,$60.94 ,52,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012043,name 57,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 57,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.28,0,0.28,0,1,,,0,1.19,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012046,name 58,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 58,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,2,,,0,6.16,0,,Modify,t3.micro,$8.60 ,2,,,t3.nano,$12.91 ,2,,,,,,,
8.36E+11,WA Cost Labs,i-012075,name 59,m3.xlarge,Red Hat Enterprise Linux,US West (Oregon),TagValue 59,DEV,IAMUser:AIDAJJB63XXXXXXXX,101,0,101,0,35.49,,,0.013333333,6.32,0.190734863,,Modify,m3.large,$29.18 ,70.98,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012123,name 60,c4.4xlarge,Linux/UNIX,US East (N. Virginia),TagValue 60,DEV,AssumedRole:AROA3JCGXXXXXXXX,2.111667,0,2.111667,0,21.28,,,0,7.693333333,0,,Modify,c4.2xlarge,$1.83 ,42.56,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012155,name 61,c4.4xlarge,Linux/UNIX,US East (N. Virginia),TagValue 61,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.091944,0,0.091944,0,8.43,,,0,6.313333333,0,,Modify,c4.2xlarge,$0.08 ,16.85,,,c4.xlarge,$0.12 ,33.71,,,c4.large,$0.14 ,67.42,,
8.36E+11,WA Cost Labs,i-012182,name 62,t3.micro,Linux/UNIX,US East (N. Virginia),TagValue 62,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0, -   ,,,0,7.953333333,0,,Terminate,, $-   ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012227,name 63,t2.medium,Red Hat Enterprise Linux,EU (Ireland),TagValue 63,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,17.92,,,0,7.353333333,0,,Modify,t2.small,$17.87 ,35.83,,,t2.micro,$26.73 ,35.83,,,,,,,
8.36E+11,WA Cost Labs,i-012254,name 64,t2.micro,Linux/UNIX,EU (Frankfurt),TagValue 64,DEV,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,9.67,,,0,5.716666667,0,,Modify,t2.nano,$4.79 ,9.67,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012274,name 65,m5.4xlarge,Windows (Amazon VPC),EU (Ireland),TagValue 65,DEV,IAMUser:AIDAJJB63XXXXXXXX,130,0,130,0,21,,,0,0.993333333,0,,Modify,m5.2xlarge,$224.82 ,42,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012307,name 66,t2.medium,Linux/UNIX,US East (N. Virginia),TagValue 66,DEV,AssumedRole:AROA3JCGXXXXXXXX,329,289.765,39.235,0,3.2,,,0.18,7.793333333,3.738404948,,Modify,t2.small,$1.99 ,6.39,,,t2.micro,$2.97 ,6.39,,,t2.nano,$3.46 ,6.39,,
8.36E+11,WA Cost Labs,i-012326,name 67,m4.2xlarge,Linux/UNIX,EU (Frankfurt),TagValue 67,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,329.75,0.25,0,14.69,,,0,1.18,0,,Modify,m4.xlarge,$0.13 ,29.38,,,m4.large,$0.20 ,58.75,,,,,,,
8.36E+11,WA Cost Labs,i-012388,name 68,m5.xlarge,Linux/UNIX,EU (Frankfurt),TagValue 68,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,6,,,0,0.993333333,0,,Modify,m5.large,$82.45 ,12,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012408,name 69,t2.small,Linux/UNIX,US East (N. Virginia),TagValue 69,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,12,,,0.66,10.00333333,17.06441406,,Modify,t2.micro,$8.15 ,12,,,t2.nano,$12.29 ,12,,,,,,,
8.36E+11,WA Cost Labs,i-012464,name 70,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 70,DEV,AssumedRole:AROA3JCGXXXXXXXX,280.408611,0,280.408611,0,38,,,0,0.993333333,0,,Modify,t3.micro,$7.31 ,38,,,t3.nano,$10.97 ,38,,,,,,,
8.36E+11,WA Cost Labs,i-012486,name 71,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 71,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.073889,0,0.073889,0,4.97,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.07 ,9.94,,,c4.xlarge,$0.11 ,19.88,,,c4.large,$0.13 ,39.75,,
8.36E+11,WA Cost Labs,i-012494,name 72,t2.micro,Linux/UNIX,EU (Frankfurt),TagValue 72,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,0.51,,,0,1.19,0,,Terminate,,$9.61 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01250,name 73,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 73,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.118056,0,0.118056,0,11.44,,,0,6.16,0,,Modify,c4.2xlarge,$0.12 ,22.88,,,c4.xlarge,$0.17 ,45.75,,,,,,,
8.36E+11,WA Cost Labs,i-012580,name 74,m5.2xlarge,Red Hat Enterprise Linux,US East (N. Virginia),TagValue 74,DEV,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,18,,,0.013333333,6.32,0.190734863,,Modify,m5.xlarge,$187.28 ,36,,,m5.large,$255.90 ,72,,,,,,,
8.36E+11,WA Cost Labs,i-012590,name 75,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 75,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,3,,,0,7.693333333,0,,Modify,t3.micro,$8.60 ,3,,,t3.nano,$12.91 ,3,,,,,,,
8.36E+11,WA Cost Labs,i-012599,name 76,t3.micro,Linux/UNIX,EU (Frankfurt),TagValue 76,DEV,AssumedRole:AROA3JCGXXXXXXXX,1.771667,0,1.771667,0,27,,,0,6.313333333,0,,Modify,t3.nano,$0.02 ,27,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-01262,name 77,c5.2xlarge,Linux/UNIX,US East (N. Virginia),TagValue 77,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0, -   ,,,0,7.953333333,0,,Terminate,, $-   ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012743,name 78,r4.8xlarge,Linux/UNIX,US East (N. Virginia),TagValue 78,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,38.31,,,0,7.353333333,0,,Modify,r4.4xlarge, $-   ,76.61,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012759,name 79,t3.micro,Linux/UNIX,EU (Frankfurt),TagValue 79,PRD,IAMUser:AIDAJJB63XXXXXXXX,1.539167,0,1.539167,0,35,,,0,5.716666667,0,,Modify,t3.nano,$0.02 ,35,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012775,name 80,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 80,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.28,0,0.28,0,1,,,0,0.993333333,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-012793,name 81,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 81,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.116944,0,0.116944,0,5.2,,,0.18,7.793333333,3.738404948,,Modify,c4.2xlarge,$0.11 ,10.4,,,c4.large,$0.20 ,41.58,,,c4.xlarge,$0.17 ,20.79,,
8.36E+11,WA Cost Labs,i-012797,name 82,t3.medium,Linux/UNIX,US East (N. Virginia),TagValue 82,DEV,AssumedRole:AROA3JCGXXXXXXXX,322.996944,322.996944,0,0,5,,,0,1.18,0,,Modify,t3.small, $-   ,5,,,t3.nano, $-   ,5,,,t3.micro, $-   ,5,,
8.36E+11,WA Cost Labs,i-012821,name 83,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 83,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.233333,0,0.233333,0,15.75,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.23 ,31.5,,,c4.xlarge,$0.34 ,63,,,,,,,
8.36E+11,WA Cost Labs,i-012864,name 84,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 84,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.28,0,0.28,0,0.83,,,0.66,10.00333333,17.06441406,,Terminate,,$0.01 ,,,,,,,,,,,,,
